name	smiles	heuristic
rxn:5:195447:223214:228503	CC(=O)c1cnc(-c2ccc3c(c2)CCC3)cc1-c1ccc2c(c1)CCNC2=O	0.0
rxn:5:198234:228981:228383	CCc1cccc(-c2c(C)ccnc2-c2cnc(C(F)F)c(C)c2)c1	0.0
rxn:5:181068:223202:228681	COc1cccc(-c2ccc(C3(O)CCC3)cc2)c1-c1ccnn1CC1CC1	0.0
rxn:5:196098:229285:227792	CN(C)c1cc(-c2ccnc(C(F)(F)F)c2F)cc(-c2cccn2C)c1	0.0
rxn:5:198281:227069:228885	COc1ccc(-c2cnc(C)c(-c3cnc(C#N)c(F)c3)c2)c(C(C)C)c1	0.0
rxn:5:195332:229244:226322	CSc1ccnc(-c2ccc(C(=O)N(C)C)cc2C)c1-c1ccnc(C)n1	0.0
rxn:5:198234:223400:226131	CNCc1cccc(-c2c(C)ccnc2-c2ccccc2CN2CCCC2)c1	0.0
rxn:5:194947:226907:229064	N#Cc1cccc(-c2cccc3c2CCC32CC2)c1-c1ccnn1C1CC1	0.0
rxn:5:195312:228688:223289	CCOc1cnccc1-c1cncc(OC)c1-c1ccccc1S(=O)(=O)NC	0.0
rxn:5:193538:229334:223239	c1cc(-c2cncc(C3CCCN3)c2)c(-c2cnoc2)cc1CN1CCCCC1	0.0
rxn:5:198526:229093:229216	Cc1ncnc(C)c1-c1c(-c2ccccc2F)ccc2cc[nH]c12	0.0
rxn:5:181277:229167:228322	CCOc1ncc(-c2cc(CC)ccc2-c2csc(N(C)C)n2)cc1F	0.0
rxn:5:179552:223348:228575	CCOc1c(C)ccc(-c2ccc(C#N)c(C)c2)c1-c1ccc2c(c1)C(=O)NC2	0.0
rxn:5:198230:223421:227027	CNC(C)c1ccc(-c2cnc(-c3ccccc3C3(C#N)CC3)cc2C)s1	0.0
rxn:5:182432:228103:223327	Cc1nc2ccc(-c3occc3-c3cnc(CC(C)C)nc3)cc2[nH]1	0.0
rxn:5:198126:226084:229216	O=C1CCCCc2ccc(-c3cnccc3-c3ccccc3F)cc21	0.0
rxn:5:179402:229312:227868	COC(=O)c1cc(-c2conc2C)cc(C)c1-c1ccc2c(c1)OCCC2	0.0
rxn:5:195300:228692:228556	COCc1ccc(-c2cnc(-c3ccc(CN(C)C)s3)cc2OC)cc1	0.0
rxn:5:181430:229149:229060	CCOc1nc(-c2ccc(SC)c(C)c2-c2ccc(C#N)nc2)cs1	0.0
rxn:5:189249:223443:228757	CCN(C)Cc1ccc(-c2cc(C)ncc2OC)cc1-c1ccc(NC)nc1	0.0
rxn:5:195815:228908:228133	COc1cc(-c2c(OC)ncc(-c3ccc(F)c(CC#N)c3)c2C)c(F)cn1	0.0
rxn:5:179411:228989:229263	COC(=O)c1cc(-c2cnccc2F)c(-c2c(C)cccc2C)cc1C	0.0
rxn:5:191515:228514:229073	COC(=O)c1cc(-c2ccncc2OC)c(-c2cccc(C3CC3)c2)cn1	0.0
rxn:5:179542:228716:229022	Cc1cc(-c2ccc(-c3cncc(C)c3C)cc2OC(C)C)cnc1C#N	0.0
rxn:5:191336:223401:228078	CNc1cc(-c2cc(CC#N)cc(-c3ccc4c(c3)COC4=O)c2)ccc1C	0.0
rxn:5:181203:229002:228866	COCc1noc(C)c1-c1cc(C(C)=O)ccc1-c1ccc(OC)cc1	0.0
rxn:5:198495:228557:227977	COCc1cccc(-c2cc(-c3cc(C)c(OC)cc3C)c3c(c2)=NC(=O)C=3)c1	0.0
rxn:5:177279:223461:223259	CC(=O)Nc1cc(C)c(-c2cccc(OCC(C)C)c2-c2cn[nH]c2C)cn1	0.0
rxn:5:195528:223272:228397	CCc1cnc(-c2ccc(C(=O)NC)cc2F)cc1-c1cc(F)c(F)c(OC)c1	0.0
rxn:5:181432:226782:229297	COC(=O)c1cc(F)c(-c2c(-c3cncnc3)cccc2C2CC2)cc1F	0.0
rxn:5:198251:223065:228204	Cc1cc(C#N)c(F)c(-c2nc(-c3ccc(N4CCNCC4)cc3F)ccc2C)c1	0.0
rxn:5:191504:227872:229163	COC(=O)c1cc(-c2cnnc(OC)c2)cc(-c2ccc3c(c2)CCC3=O)n1	0.0
rxn:5:179396:227707:223466	O=C(c1ccc(-c2ccccc2OC(F)(F)F)cc1-c1cn[nH]c1)C1CC1	0.0
rxn:5:196566:228712:229218	CC(C)(C)c1ccnc(-c2cccc(F)c2)c1-c1ccnn1C1CCC1	0.0
rxn:5:195521:228888:226413	CCc1ccc(-c2cc(C#N)ncc2F)c(-c2cccc(N3CCOCC3)c2)n1	0.0
rxn:5:195447:228755:228789	COc1cc(F)ccc1-c1cc(-c2cncc(OC)c2C)c(C(C)=O)cn1	0.0
rxn:5:196097:229067:223416	CCc1ncc(-c2ccc(N(C)C)c(-c3c[nH]c4ncccc34)c2)cn1	0.0
rxn:5:176753:229177:223398	CCCOc1ccc(-c2ccc(CNC)cc2)cc1-c1c(F)cncc1F	0.0
rxn:5:176594:227588:229341	COc1cc(F)cc(OC)c1-c1ccc(OCC(C)=O)cc1-c1ccon1	0.0
rxn:5:188383:223267:229290	CCOC(=O)c1cc(-c2ccsc2C)cnc1-c1ccc(C(=O)NC)c(F)c1	0.0
rxn:5:181320:227038:222422	COc1ccc(C(C)C)cc1-c1ccc(-c2c[nH]c(=O)[nH]c2=O)c(S(C)(=O)=O)c1	0.0
rxn:5:179413:225454:223468	COC(=O)c1cc(C)cc(-c2ccc(C3=CCN(C)CC3)cc2)c1-c1c[nH]cn1	0.0
rxn:5:181075:228153:223451	COc1cc(OC)cc(-c2cccc(-c3ccccc3)c2SC)c1	0.0
rxn:5:199168:223384:227197	CNC(=O)c1ccc(-c2cnc(-c3ccc4c(c3)C(=O)N(C)C4)c3c2CCCC3)cn1	0.0
rxn:5:181329:229217:227941	COCc1cc(C)cc(-c2c(-c3ccc(F)cc3)cccc2S(C)(=O)=O)c1	0.0
rxn:5:176765:229312:226649	CCOCc1ccc(-c2conc2C)cc1-c1cccnc1N1CCOCC1	0.0
rxn:5:196175:228193:229206	CCc1cc(-c2cc(-c3cnn(C4CCCC4)c3)c(C)c(S(N)(=O)=O)c2)cs1	0.0
rxn:5:179397:229295:227544	COC(=O)c1cc(-c2cc(F)ccc2C(=O)OC)c(C)c(-c2ccnn2C)c1	0.0
rxn:5:181070:228149:229205	CCc1csc(-c2cc(OC)cc(-c3ccccc3C(=O)OC)c2)c1	0.0
rxn:5:182896:227072:229240	COc1cc(C2CC2)ccc1-c1ccc(-c2cnc(C)nc2)c2c1CCC2	0.0
rxn:5:176752:229102:228127	CCCOc1ccc(-c2ccn(C)c(=O)c2)c(-c2c(C#N)cccc2OC)c1	0.0
rxn:5:191514:228689:229061	CCOc1ccncc1-c1ccc(-c2cnn(C(C)C)c2)c(C(=O)OC)n1	0.0
rxn:5:195468:225683:229286	Cc1nc(C2CCCOC2)ccc1-c1cc(-c2ccn(C)c2)cc(C#N)c1C	0.0
rxn:5:197572:228688:229161	CCOc1cnccc1-c1cc2c(c(-c3cncnc3OC)c1)N(C(C)=O)CC2	0.0
rxn:5:181208:229336:225987	CC(=O)c1ccc(-c2cncs2)cc1-c1ccc(N2CCCS2(=O)=O)cc1	0.0
rxn:5:181421:228066:228702	COc1cc(-c2cncnc2C(C)C)cc(C)c1-c1ccc2c(c1)OCCO2	0.0
rxn:5:198228:223314:228908	COc1cc(-c2ccc(-c3ccc4[nH]ncc4c3C)nc2C)c(F)cn1	0.0
rxn:5:181425:229089:223342	COc1c(-c2ccsc2C(C)=O)ccc(-c2ccc3c(c2)OCCN3)c1C	0.0
rxn:5:177275:229236:229062	COc1csc(-c2cc(OCC(C)C)ccc2-c2ccc(C#N)n2C)c1	0.0
rxn:5:191504:229147:228913	COCn1ccc(-c2cc(-c3ccnc(OC)c3F)cc(C(=O)OC)n2)n1	0.0
rxn:5:195461:228882:228173	CCOc1cc(F)ccc1-c1cc(C#N)cc(-c2cnc(OC)nc2C)c1C	0.0
rxn:5:192479:223307:228679	CC(C)Cc1ccnc(-c2cnn(CC3CC3)c2)c1-c1ccc2c(c1)CCNC2	0.0
rxn:5:198247:228490:223286	Cc1cc(-c2cccc(S(=O)(=O)F)c2)c(-c2cccc(NS(C)(=O)=O)c2)cn1	0.0
rxn:5:194947:226143:229166	CC(=O)n1cc(-c2c(C#N)cccc2-c2cc(C)c(OC(C)C)c(C)c2)cn1	0.0
rxn:5:181431:228598:228755	COc1ccc(C)cc1-c1c(OC)ccc(-c2cncc(OC)c2C)c1C	0.0
rxn:5:182636:229345:228989	Cc1cccc(C)c1-c1ccc(-c2ccno2)c2occc12	0.0
rxn:5:195528:223447:223364	CCc1cnc(-c2cc(C)[nH]c(=O)c2)cc1-c1cnc2[nH]cc(F)c2c1	0.0
rxn:5:182581:227867:228309	COc1cc(-c2ccc(C)c(-c3cccc4c3OCCC4)c2C)cc(C#N)n1	0.0
rxn:5:182892:225583:229245	Cc1cc(C2CCc3cc(-c4cccc(C(=O)N5CCCC5)c4)ccc32)n(C)n1	0.0
rxn:5:198084:228456:229203	CCc1ccsc1-c1ncc(-c2cnc(SC)nc2OC)s1	0.0
rxn:5:195311:228071:228341	COc1c(-c2cccc3c2OCCO3)ccnc1-c1ccc(OC(F)F)cc1	0.0
rxn:5:198327:226971:228739	COc1cc(-c2cc(C)c(-c3ccc4c(c3)CCCOC4)nc2C)c(C)cn1	0.0
rxn:5:198127:228589:226764	COC(=O)c1c(F)ccc(-c2ccnc(-c3ccc(C(C)C)nc3)c2)c1F	0.0
rxn:5:178985:227209:229256	CCOc1c(-c2ccc3c(c2)OC(C)(C)O3)cccc1-c1c(C)noc1C	0.0
rxn:5:198121:227404:229074	CSc1ncccc1-c1ncccc1-c1cc(N2CCCCC2)cs1	0.0
rxn:5:195681:226852:229062	COc1ncc(-c2cc(-c3ccc(C#N)n3C)ccc2S(N)(=O)=O)cc1C(F)(F)F	0.0
rxn:5:182851:223131:228882	COc1ncc(-c2cc3c(c(-c4ccc(N5CCNCC5)cc4)c2)OCCO3)c(C)n1	0.0
rxn:5:198244:225594:222421	Cc1cncc(-c2ccc(F)cc2CN2CCCC2)c1-c1cncc(S(N)(=O)=O)c1	0.0
rxn:5:181406:223320:223454	COc1ccc(-c2cc(C)cc3[nH]ncc23)c(-c2ccc[nH]c2=O)c1C	0.0
rxn:5:195526:228796:228644	CCc1nc(-c2cc(C)c(F)c(C)c2)ccc1-c1cc(OC)ccc1F	0.0
rxn:5:188381:229334:226335	CCOC(=O)c1ccc(-c2cnoc2)nc1-c1ccc(C2COC2)c(C#N)c1	0.0
rxn:5:198245:228020:227199	Cc1nccc(-c2ccc3c(c2)N(C)C(=O)C3)c1-c1c(F)cccc1C1CC1	0.0
rxn:5:198084:228391:228754	CSc1ncc(-c2ncc(-c3cccc(C(F)(F)F)c3)s2)cc1C	0.0
rxn:5:198281:228495:227996	CC(=O)c1ccc(-c2cc(-c3ccn(CC(F)(F)F)n3)cnc2C)c(C)c1	0.0
rxn:5:182643:223186:223457	Cc1cc(-c2ccc3occc3c2-c2cnn(C3CCCCO3)c2)[nH]n1	0.0
rxn:5:198324:229042:228920	CSc1nccc(-c2c(-c3cccc(C)c3F)cnc(C)c2C)c1F	0.0
rxn:5:198247:222418:225621	Cc1cc(-c2ccc(S(N)(=O)=O)cc2)c(-c2ccc(OC3CCOC3)c(C)c2)cn1	0.0
rxn:5:196916:223399:223447	CNCc1ccccc1-c1cc(-c2cc(C)[nH]c(=O)c2)ccc1N1CCCCC1=O	0.0
rxn:5:198226:229112:227849	Cc1cc(-c2ccnc3ccccc23)cnc1-c1ccc(=O)n(C)c1	0.0
rxn:5:188725:223453:227979	COc1cc(C)cc(C)c1-c1cc(-c2cccnc2)cnc1OCC1CC1	0.0
rxn:5:198123:223186:223394	c1cc(-c2cnn(C3CCCCO3)c2)nc(-c2cccc3cc[nH]c23)c1	0.0
rxn:5:191555:228569:228979	CCc1ccccc1-c1c(OC)cc(C#N)cc1-c1ccccc1N(C)C	0.0
rxn:5:188515:228927:229147	CCCOc1nccc(-c2c(F)ccnc2OC)c1-c1ccn(COC)n1	0.0
rxn:5:195521:223464:225791	CCc1ccc(-c2cc[nH]c2)c(-c2cnn(-c3ccccc3OC)c2)n1	0.0
rxn:5:191513:227831:229060	CCc1c(C)cc(-c2cc(-c3ccc(C#N)nc3)ncc2C(=O)OC)cc1C	0.0
rxn:5:195317:222960:228877	COc1ccc(-c2cc(C)cc(C3CCNCC3)c2)c(-c2ccnn2C2CC2F)n1	0.0
rxn:5:178982:228710:228978	CCc1ccc(-c2ccc(COC)c(-c3cnc(C(C)C)nc3)c2)cc1	0.0
rxn:5:181208:228064:223242	CC(=O)c1ccc(-c2cnc3c(c2)C(=O)CC3)cc1-c1ccnc(C2CCNC2)c1	0.0
rxn:5:182582:228725:229042	Cc1cc(-c2cc(F)cc(C#N)c2)c(C)c(-c2cccc(C)c2F)c1	0.0
rxn:5:198084:229258:227142	COc1ccc2sc(-c3ncc(-c4cncc(F)c4)s3)cc2c1	0.0
rxn:5:179547:227432:223444	CCOc1ccc(-c2ccc(C3COC3)nc2C)c(-c2ccnc(NC)c2)c1C	0.0
rxn:5:193050:229216:229287	Cc1ccsc1-c1ccc(-c2ccccc2F)cc1C(=O)N1CCCC1	0.0
rxn:5:195463:223302:229339	Cc1cc(-c2c(C)ccc3[nH]ccc23)c(-c2nccs2)cc1C#N	0.0
rxn:5:193050:227910:223454	CCC(C)c1ccc(-c2ccc(-c3ccc[nH]c3=O)c(C(=O)N3CCCC3)c2)cn1	0.0
rxn:5:181073:223183:229271	CNS(=O)(=O)c1ccc(-c2ccc(SC)c(-c3cc(OC)ns3)c2)c(C)c1	0.0
rxn:5:188411:228595:229228	CCOC(=O)c1ncc(-c2cc(C)cnc2CC)cc1-c1ccsc1C#N	0.0
rxn:5:182656:227556:223463	COc1cc(-c2ccc3ccoc3c2-c2ccc[nH]2)cc(OC)c1F	0.0
rxn:5:195363:227999:228752	COc1ncc(-c2ccc(C(C)C)cc2F)cc1-c1cc(F)ccc1C#N	0.0
rxn:5:198249:228611:227675	COc1ccc(C)c(-c2c(C)cncc2-c2cc(OC)c(C)c(F)c2F)c1	0.0
rxn:5:181421:228181:223383	COCc1cc(F)ccc1-c1c(C)cc(-c2ccc(NC(C)=O)nc2)cc1OC	0.0
rxn:5:182848:228108:228749	CCc1ncc(C#N)cc1-c1ccc2c(c1-c1cc(C#N)ccc1F)C(=O)CC2	0.0
rxn:5:191334:223421:228617	CNC(C)c1ccc(-c2cc(-c3c(C)cccc3OC)ccc2CC#N)s1	0.0
rxn:5:181280:223438:228428	CCc1cc(-c2cc(OC)cc(F)c2F)ccc1-c1cn[nH]c1C(F)(F)F	0.0
rxn:5:181854:223445:223192	CNS(=O)(=O)c1cc(-c2ccc(C(C)(C)C)cc2-c2c[nH+]ccc2OC)ccc1F	0.0
rxn:5:188253:229286:227166	COC(=O)c1cc(C#N)cc(-c2ccn(C)c2)c1-c1ccc2c(c1)OCCN2C	0.0
rxn:5:182899:229248:226603	COC(=O)c1cc(F)c(C)c(-c2ccc3c(c2-c2c(C)cnn2C)CCC3)c1	0.0
rxn:5:195795:228675:229343	c1cc(-c2cnc(-c3ccsn3)cc2C2CC2)c2ncsc2c1	0.0
rxn:5:182896:225585:229258	Fc1cncc(-c2ccc(-c3ccccc3CN3CCOCC3)c3c2CCC3)c1	0.0
rxn:5:198323:229060:226735	Cc1cc(-c2cc(C#N)cc(C(F)(F)F)c2)nc(C)c1-c1ccc(C#N)nc1	0.0
rxn:5:198653:229346:227967	c1cnc(C2CCC2)c(-c2cccc3nccc(-c4cnon4)c23)c1	0.0
rxn:5:188393:223307:229082	CCOC(=O)c1ccnc(-c2cc(N(C)C)cs2)c1-c1ccc2c(c1)CCNC2	0.0
rxn:5:195314:222998:228864	CCOc1ncc(-c2cc(OC)ncc2-c2cc(F)cc(C3CCCNC3)c2)cn1	0.0
rxn:5:195792:228149:228700	COC(=O)c1ccccc1-c1cncc(C2CC2)c1-c1ccc(N(C)C)nc1	0.0
rxn:5:195528:228156:228372	CCc1cnc(-c2cc(OC)ccc2OC)cc1-c1cc(F)c(C#N)cc1F	0.0
rxn:5:182711:222990:229023	Cc1cc(C)c(-c2cc3c(cc2-c2ccc(N4CCC(O)CC4)cc2)OCC3=O)cn1	0.0
rxn:5:183063:226450:229338	CC1(c2cccc(-c3c(-c4ccns4)ccc4c3CCCC4=O)c2)OCCO1	0.0
rxn:5:181075:228694:223451	CCN(C)c1csc(-c2cccc(-c3ccccc3)c2SC)c1	0.0
rxn:5:198405:223456:227055	COc1ccc(-c2nccc3occ(-c4ccc(=O)[nH]n4)c23)cc1C1CC1	0.0
rxn:5:176993:222422:228680	CCCC(=O)c1ccc(-c2cc(C)nn2CCC)c(-c2c[nH]c(=O)[nH]c2=O)c1	0.0
rxn:5:182441:228869:226449	COC(=O)c1cc(-c2cccc(-c3ccccc3C3(C)OCCO3)c2)cs1	0.0
rxn:5:195463:228181:229083	COCc1cc(F)ccc1-c1cc(C)c(C#N)cc1-c1cnc(C(C)C)o1	0.0
rxn:5:182841:223358:228591	CC(=O)Nc1ccc(-c2cc3c(cc2-c2ccncc2C(C)C)CCC3=O)cc1	0.0
rxn:5:182948:228531:228981	CCc1cccc(-c2cc3c(c(-c4cccc5c4CCO5)c2)OCCC3=O)c1	0.0
rxn:5:177282:229226:229017	Cc1cnc(C)c(-c2cc(COC(C)C)ccc2-c2ccc(C#N)s2)c1	0.0
rxn:5:181580:228653:228066	CC(C)c1ccc(-c2ccc3c(c2)OCCO3)cc1-c1cnn2c1CCCC2	0.0
rxn:5:180662:228996:229292	CCc1cc(-c2cc(-c3ccoc3C)cc3c2OCC(C(=O)OC)=C3)ccn1	0.0
rxn:5:195675:223378:228759	CC(=O)c1ccc(-c2ccc(S(N)(=O)=O)cc2-c2cnc3c(c2)NCCO3)cn1	0.0
rxn:5:195526:223270:227891	CCc1nc(-c2ccccc2CN(C)C)ccc1-c1ccc(F)cc1NC(C)=O	0.0
rxn:5:199070:228097:223458	Cc1n[nH]cc1-c1c(-c2cncc(CN(C)C)c2)c(C)nc2ccccc12	0.0
rxn:5:195307:228532:229162	COc1cnc(-c2ccc3sccc3c2)c(-c2cnc(OC)cn2)c1	0.0
rxn:5:198227:227492:227935	CCc1cc(-c2ccc(-c3c(OC)ncnc3C3CC3)c(C)n2)ccc1OC	0.0
rxn:5:192336:228995:223148	CCc1cncc(-c2ccc(C(=O)N(C)C)cc2-c2ccccc2C2CNCCO2)c1	0.0
rxn:5:198670:229297:223286	CS(=O)(=O)Nc1cccc(-c2cccc3c(-c4cncnc4)cncc23)c1	0.0
rxn:5:198517:228576:229055	Cc1ccc(C#N)cc1-c1cc(-c2cncc(C#N)c2)cc2[nH]ccc12	0.0
rxn:5:176761:228573:229018	CCOCc1ccc(-c2ccc(C#N)cc2C)c(-c2c(C)ccnc2C)c1	0.0
rxn:5:181623:223415:229255	Fc1cnccc1-c1ccc(C2OCCO2)c(-c2cccc3[nH]cnc23)c1	0.0
rxn:5:181323:223251:228196	Cc1ncnc(C2CC2)c1-c1cc(-c2ccc3c(c2)OCC(=O)N3)ccc1S(C)(=O)=O	0.0
rxn:5:178847:228401:229068	COC(=O)c1ccc(-c2cnccc2OC)c(-c2c(F)ccc(F)c2OC)c1	0.0
rxn:5:195307:228041:229064	COc1cnc(-c2ccnc3cnccc23)c(-c2ccnn2C2CC2)c1	0.0
rxn:5:195329:229336:227400	COc1cncc(-c2ccc(-c3nccs3)cc2)c1-c1cncs1	0.0
rxn:5:181623:227517:229048	c1cc(OC2COC2)ncc1-c1cc(-c2cnn3c2CCC3)ccc1C1OCCO1	0.0
rxn:5:181283:227575:228715	CCc1c(-c2ccc(C#N)nc2C)cccc1-c1c(OC)ccc(OC)c1F	0.0
rxn:5:181072:228699:227199	CSc1cccc(-c2cncc(N(C)C)c2)c1-c1ccc2c(c1)N(C)C(=O)C2	0.0
rxn:5:181278:228214:228739	CCc1ccc(-c2cc(OC)ncc2C)cc1-c1cnc(C2CC2)cc1F	0.0
rxn:5:195789:223218:228120	CCOc1ncc(C)cc1-c1nc(-c2ccc3c(c2C)NCCO3)cc(C)c1OC	0.0
rxn:5:188079:228600:229019	CCOC(=O)c1nc(-c2ccc(C)nc2C)sc1-c1ccc(OC)cc1C	0.0
rxn:5:193227:229286:228269	COc1cc(-c2cc(C(=O)N3CCOCC3)cc(-c3ccn(C)c3)c2)c(F)cc1C	0.0
rxn:5:198517:227587:223460	COc1cc(-c2cc(-c3c[nH]c(C)n3)cc3[nH]ccc23)cc(F)c1OC	0.0
rxn:5:176584:223231:229291	CCOC(=O)c1ccc(-c2ccc(C(=O)NC)c(C)c2)c(-c2cc(C)cs2)c1	0.0
rxn:5:181066:229024:227836	COc1cc(-c2cnc(C)c(C)c2)ccc1-c1ccc(C)cc1C1CC1	0.0
rxn:5:179840:227320:229342	COc1cccc(N(C)C)c1-c1ccc(O[C@@H]2CCOC2)cc1-c1cnsc1	0.0
rxn:5:192478:229273:223201	CCC(C)c1ccnc(-c2ccccc2C2CCNC2)c1-c1scnc1OC	0.0
rxn:5:197758:229297:223453	CC(C)c1cc(-c2cccnc2)c2cc(-c3cncnc3)ccc2n1	0.0
rxn:5:179538:227906:223437	CCC(C)c1ncccc1-c1ccc(-c2cc(C#N)[nH]c(=O)c2)c(OC(C)C)c1	0.0
rxn:5:181429:229102:227535	CCOc1cc(F)c(F)cc1-c1cc(-c2ccn(C)c(=O)c2)cc(C2CC2)c1	0.0
rxn:5:188389:228108:229226	CCOC(=O)c1cc(-c2cc(C#N)cnc2CC)ncc1-c1ccc(C#N)s1	0.0
rxn:5:182507:223266:223192	CNC(=O)c1ccc(F)cc1-c1c(C)cccc1-c1ccc(F)c(S(=O)(=O)NC)c1	0.0
rxn:5:196084:228774:228686	CCOc1cc(-c2cc(C(C)C)ncc2-c2c(F)cccc2OC)ccn1	0.0
rxn:5:191355:229057:228861	COC(=O)c1cc(-c2cnn(C3CC3)c2)c(-c2cnc3scnc3c2)[nH]1	0.0
rxn:5:192074:228744:228593	CCS(=O)(=O)c1cnc(-c2ccncc2C2CC2)c(-c2ccc(F)c(C#N)c2)c1	0.0
rxn:5:182847:223148:228979	CCc1ccccc1-c1ccc(-c2ccccc2C2CNCCO2)c2c1CCC2=O	0.0
rxn:5:195330:223310:223201	COc1c(-c2ccccc2C2CCNC2)ccnc1-c1ccc(NC2CC2)cc1	0.0
rxn:5:198845:229334:226360	Cn1nccc1-c1cccc(-c2nc3c(cc2-c2cnoc2)CCC3)c1	0.0
rxn:5:198410:223467:227667	CC(=O)c1ccc(F)c(-c2cccc3nc(-c4ncc[nH]4)sc23)c1F	0.0
rxn:5:194948:229332:226390	N#Cc1ccc(-c2ccoc2)c(-c2cccc(-c3cncnc3)c2)c1	0.0
rxn:5:178990:227808:229125	COCc1ccc(-c2ccc3c(c2)CCCC3)c(-c2cncc(C)c2F)c1	0.0
rxn:5:191684:228755:228156	CCOc1cc(-c2cc(OC)ccc2OC)nc(-c2cncc(OC)c2C)c1	0.0
rxn:5:183228:228463:229285	Cn1cccc1-c1cc(-c2ccc(OC(F)F)nc2)cc2c1OC(C)(C)CC2	0.0
rxn:5:195310:223349:222415	CSc1cc(-c2ccc(F)c(S(N)(=O)=O)c2)cnc1-c1cccc2c1C(=O)NC2	0.0
rxn:5:195674:229271:226608	COc1cc(-c2ccc(-c3ccc(F)c(F)c3OC(C)C)c(S(N)(=O)=O)c2)sn1	0.0
rxn:5:192711:223218:229020	Cc1cc(-c2ccc(-c3ccc4c(c3C)NCCO4)c(CN3CCC3)c2)cc(C)n1	0.0
rxn:5:182897:229317:227987	COc1c(C)ccc(-c2c(-c3ccc(F)s3)ccc3c2CCC3)c1C	0.0
rxn:5:195316:227861:227303	COc1nc(-c2cccc(CN(C)C)c2F)ccc1-c1cnc2c(c1)CCCC2	0.0
rxn:5:195673:228416:228276	COc1cc(F)cc(F)c1-c1ccc(S(N)(=O)=O)c(-c2ccc(F)c(C)c2OC)c1	0.0
rxn:5:192336:228549:223281	CCCc1ccc(-c2ccc(C(=O)N(C)C)cc2-c2ccc(C3(O)COC3)nc2)cn1	0.0
rxn:5:198246:227353:228625	CCc1ccc(-c2ccnc(-c3c(C)cc(OC)cc3OC)c2C)c(F)c1	0.0
rxn:5:198226:228735:228030	COc1cncc(C)c1-c1ncc(-c2ccc3c(cnn3C)c2)cc1C	0.0
rxn:5:179199:222416:223468	COc1cc(OC)c(-c2c[nH]cn2)cc1-c1ccc2[nH]c(=O)[nH]c2c1	0.0
rxn:5:198661:223449:228747	N#Cc1cccc(F)c1-c1cccc2c(-c3cc(=O)[nH]cc3F)nccc12	0.0
rxn:5:191980:229210:227306	CCCc1ccnc(-c2ccc(OC(C)C)nc2C)c1-c1ccc(C)nc1	0.0
rxn:5:199084:223466:227901	Cc1cc(-c2ccc(CC(C)C)nc2)nc2c(-c3cn[nH]c3)cccc12	0.0
rxn:5:181281:229076:228824	CCc1ccc(-c2sc(C#N)cc2C)cc1-c1c(F)cc(C)cc1F	0.0
rxn:5:198403:228888:229228	N#Cc1cc(-c2cc(-c3ccsc3C#N)c3ocnc3c2)c(F)cn1	0.0
rxn:5:196870:229078:223230	COc1cncc(-c2cc(-c3ccc(NC(C)=O)cc3C)cc(N3CCOCC3)c2)c1	0.0
rxn:5:198127:223214:228525	O=C1NCCc2cc(-c3cc(-c4cc5ccccc5s4)ccn3)ccc21	0.0
rxn:5:198440:229003:229273	COc1cccc(-c2cccc3snc(-c4scnc4OC)c23)c1	0.0
rxn:5:176567:228865:229134	CCOc1cnc(-c2ccc(CC(=O)OC)c(-c3cc(F)ccc3F)c2)cn1	0.0
rxn:5:196174:229065:227508	COC(=O)c1cc(-c2cc(-c3ccnc(C#N)c3)cc(C)c2S(N)(=O)=O)cc(C)n1	0.0
rxn:5:177736:228397:223464	COc1cc(-c2cc(C(=O)OC(C)(C)C)ccc2-c2cc[nH]c2)cc(F)c1F	0.0
rxn:5:176853:229225:228637	CCn1cc(-c2cc(C(=O)OC)c(OC)cc2-c2cc(C)c(F)cc2C)cn1	0.0
rxn:5:181403:223452:225806	COc1cc(C)c(-c2c(C)n[nH]c2C)cc1-c1cnc(OC2CCCC2)cc1F	0.0
rxn:5:198126:226978:229311	Cc1ncc(-c2ccncc2-c2cccc3cccc(F)c23)s1	0.0
rxn:5:179544:228118:222420	COc1cccc(-c2cc(CC3CC3)ccc2-c2ccccc2S(N)(=O)=O)c1C#N	0.0
rxn:5:181063:223142:228630	CCc1cc(F)cc(-c2ccc(OC)cc2-c2ccc(C3CCCNC3)nc2)c1	0.0
rxn:5:182499:228481:227860	Cc1ccc(-c2ccc3c(c2)CCN3C)cc1-c1ccnc(C(F)(F)F)c1	0.0
rxn:5:181857:229235:223357	COc1ccsc1-c1ccc(C(C)(C)C)c(-c2ccccc2NC(C)=O)c1	0.0
rxn:5:189910:227205:229344	c1cc2c(c(-c3ccc(-c4cocn4)c(CCN4CCOCC4)c3)c1)OCCCO2	0.0
rxn:5:188931:227816:229344	CCCc1ccc(-c2cc(C(=O)OC)c(-c3cocn3)c(S(N)(=O)=O)c2)c(C)c1	0.0
rxn:5:189829:223454:228689	CCOc1ccncc1-c1cc(C(=O)N2CCCC2)cc(-c2ccc[nH]c2=O)c1OC	0.0
rxn:5:179197:229026:223352	Cc1cc(-c2ccc(OC3CC3)c(-c3ccc(NC(C)C)nc3)c2)c(C)cn1	0.0
rxn:5:196174:228986:227521	COC(=O)c1cnc(C)c(-c2cc(-c3cccc(C)c3C)cc(C)c2S(N)(=O)=O)c1	0.0
